case_id,case_type,legal_regime,ipc_sections,num_ipc_sections,bns_sections,num_bns_sections,cpc_sections,num_cpc_sections,max_severity_score,immediate_threat_flag,societal_impact_score,priority_score,case_date,case_age_days,num_precedents,total_words,priority_category,priority_explanation
Gurpal_Singh_vs_High_Court_Of_Judicature_For_Rajasthan_on_27_November_2012_1,criminal,IPC,"201,409",2,"238,316",2,,0,8,1,5,8.8,,,1,10043,Critical,Criminal case; 2 IPC sections involved
Guru_Basavaraj_Benne_Settappa_vs_State_Of_Karnataka_on_29_August_2012_1,criminal,IPC,304a,1,106,1,,0,4,1,3,6.4,,,3,5459,High,Criminal case; 1 IPC sections involved
Haradhan_Das_vs_State_Of_West_Bengal_on_13_December_2012_1,criminal,IPC,"149,302,460",3,"190,103,331",3,,0,10,0,1,4.5,,,1,7063,Medium,Criminal case; 3 IPC sections involved
Haryana_State_Indusl_Devt_Corp_Ltd_vs_Mawasi_Ors_Etc_Etc_on_2_July_2012_1,civil,IPC,,0,,0,47,1,3,0,3,3.05,,,10,11987,Low,Civil case; 1 CPC sections involved; High legal complexity
Head_Master_Lawrence_School_Lovedale_vs_Jayanthi_Raghu_Anr_on_16_March_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,11,5873,Low,Criminal case; High legal complexity
Hem_Raj_Ors_vs_Kartar_Singh_D_By_Lrs_Ors_on_29_November_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,11-12-1974,18837.0,0,3386,Low,Civil case; Pending for 51 years
Horil_vs_Keshav_Anr_on_20_January_2012_1,civil,IPC,,0,,0,9,1,3,0,1,2.05,,,1,2532,Low,Civil case; 1 CPC sections involved
Huidrom_Konungjao_Singh_vs_State_Of_Manipur_Ors_on_17_May_2012_1,criminal,IPC,302,1,103,1,,0,10,1,3,8.5,,,16,2872,Critical,Criminal case; 1 IPC sections involved; High legal complexity
H_P_Housing_Urban_Devt_Auth_Anr_vs_Ranjit_Singh_Rana_on_12_March_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,1,1634,Low,Civil case
H_P_Singh_vs_Thakur_Prasad_Tewari_And_Anr_on_21_December_1950_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,19-2-1948,28629.0,0,1560,Very Low,Criminal case; Pending for 78 years
Imtiyaz_Ahmad_vs_State_Of_U_P_Ors_on_1_February_2012_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,0,8447,High,Criminal case
Indra_Kumar_Patodia_Anr_vs_Reliance_Inds_Ltd_Ors_on_22_November_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,32/9/1999,,2,5440,Low,Criminal case
In_The_Supreme_Court_Of_India_vs_Kadar_Unnisa_Begum_And_Others_on_12_October_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,2864,Low,Civil case
In_The_Supreme_Court_Of_India_vs_Nandlal_on_12_October_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,2262,Low,Civil case
In_The_Supreme_Court_Of_India_vs_Shankar_And_Others_on_13_October_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,1514,Low,Civil case
I_T_C_Ltd_vs_Adarsh_Coop_Housing_Soc_Ltd_on_27_August_2012_1,civil,IPC,,0,,0,145,1,3,1,3,6.05,,,0,3468,High,Civil case; 1 CPC sections involved
Jagroop_Singh_vs_State_Of_Punjab_on_20_July_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,15,6683,Low,Criminal case; High legal complexity
Jainendra_Singh_vs_State_Of_U_P_Tr_Prinl_Sec_Home_Ors_on_30_July_2012_1,criminal,IPC,"148,323,325,34,380,427,596",7,"191,115,117,3,305,324",6,,0,4,0,1,1.9,20-11-1995,11188.0,0,6863,Very Low,Criminal case; 7 IPC sections involved; Pending for 30 years
Jai_Prakash_Singh_vs_State_Of_Bihar_Anr_Etc_on_14_March_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,8,3705,High,Criminal case; High legal complexity
Janardan_Reddy_And_Others_vs_The_State_on_14_December_1950_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,3317,Low,Criminal case
Jasarvinder_Singh_Ors_vs_President_Land_Acquisition_Ors_on_9_November_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,989,Low,Criminal case
Jayrajsingh_Digvijaysingh_Rana_vs_State_Of_Gujarat_Anr_on_20_July_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,2734,Low,Criminal case
Jeetu_Jitendera_Ors_vs_State_Of_Chhattisgarh_on_4_December_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,5,3436,High,Criminal case
Jeevantha_And_Ors_vs_Hanumantha_And_Ors_on_20_November_1950_1,civil,IPC,,0,,0,,0,3,0,3,2.55,30-1-1913,41432.0,0,1233,Low,Civil case; Pending for 113 years
Jeevan_Chandrabhan_Idnani_Anr_vs_Divisional_Commr_Konkan_Bhavan_Ors_on_31_January_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,4509,Low,Criminal case
Jegannathan_vs_Raju_Sigamani_Anr_on_2_April_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,1,1820,Medium,Civil case
Jik_Industries_Ltd_Ors_vs_Amarlal_V_Jumani_Anr_on_1_February_2012_1,criminal,IPC,4,1,,0,,0,4,0,5,4.4,,,5,9713,Medium,Criminal case; 1 IPC sections involved
Jitender_Kumar_vs_State_Of_Haryana_on_8_May_2012_1,criminal,IPC,"109,120,120b,149,302,34,342",7,"49,60,61,190,103,3,127",7,,0,10,1,1,7.5,,,2,11099,High,Criminal case; 7 IPC sections involved
Jitendra_Nath_Singh_vs_Official_Liquidator_Ors_on_21_September_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,12-10-1993,11957.0,0,18715,Low,Civil case; Pending for 32 years
Jitu_Patnaik_vs_Sanatan_Mohakud_Ors_on_2_March_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,2,8433,High,Civil case
Jugendra_Singh_vs_State_Of_U_P_on_29_May_2012_1,criminal,IPC,302,1,103,1,,0,10,1,3,8.5,,,14,6434,Critical,Criminal case; 1 IPC sections involved; High legal complexity
J_Samuel_Ors_vs_Gattu_Mhesh_Ors_on_16_January_2012_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,1,3659,Medium,Civil case
Kalu_Amit_vs_State_Of_Haryana_on_17_August_2012_1,criminal,IPC,,0,,0,,0,3,1,1,4.55,11/7/2006,7302.0,1,4476,Medium,Criminal case; Pending for 20 years
Kanwar_Singh_Meena_vs_State_Of_Rajasthan_Anr_on_16_October_2012_1,criminal,IPC,,0,,0,,0,3,1,1,4.55,20/5/2009,6258.0,1,4927,Medium,Criminal case; Pending for 17 years
Kapildeo_Singh_vs_The_King_on_24_January_1950_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,0,2876,Medium,Criminal case
Kashmir_Kaur_Anr_vs_State_Of_Punjab_on_12_December_2012_1,criminal,IPC,"304b,498a",2,"80,86",2,,0,9,1,3,8.15,,,1,5492,Critical,Criminal case; 2 IPC sections involved
Kathi_Bharat_Vajsur_Anr_vs_State_Of_Gujarat_on_8_May_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,1,6298,Medium,Criminal case
Kavita_Solunke_vs_State_Of_Maharashtra_Ors_on_9_August_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,20-7-1962,23364.0,1,5309,Low,Criminal case; Pending for 64 years
Kavita_vs_Deepak_And_Ors_on_22_August_2012_1,criminal,IPC,"279,337,338",3,"281,125,125",3,,0,4,0,1,1.9,26/06/2004,8047.0,1,5672,Very Low,Criminal case; 3 IPC sections involved; Pending for 22 years
Khoday_Distilleries_Ltd_Ors_vs_Mahadeshwara_S_S_K_Ltd_on_19_October_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,2341,Low,Civil case
Kishan_Chand_vs_State_Of_Haryana_on_13_December_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,1,6629,Medium,Criminal case
Kishore_Samrite_vs_State_Of_U_P_Ors_on_18_October_2012_1,criminal,IPC,,0,,0,,0,3,1,5,6.55,18/10/2012,5011.0,5,17145,High,Criminal case; Pending for 13 years
Kotak_Mahindra_Bank_Ltd_vs_Hindustan_National_Glass_Ind_Ltd_on_11_December_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,14387,Medium,Criminal case
Krishan_Lal_vs_Food_Corpn_Of_India_And_Ors_on_24_February_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,1,3297,Low,Civil case
Krishnappa_Ors_vs_State_Of_Karnataka_By_Babaleshwara_P_S_on_31_July_2012_1,criminal,IPC,"149,302",2,"190,103",2,,0,10,0,1,4.5,,,3,3318,Medium,Criminal case; 2 IPC sections involved
Krushnakant_B_Parmar_vs_Union_Of_India_Anr_on_15_February_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,2795,Low,Criminal case
Kuria_Anr_vs_State_Of_Rajasthan_on_13_September_2012_1,criminal,IPC,"302,34,364",3,"103,3,140",3,,0,10,1,1,7.5,,,1,8970,High,Criminal case; 3 IPC sections involved
K_B_Nagur_M_D_Ayu_vs_Union_Of_India_on_24_February_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,1,5927,Medium,Civil case
K_Suresh_vs_New_India_Assurance_Co_Ltd_Anr_on_19_October_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,2,6010,Low,Criminal case
K_Venkateshwarlu_vs_State_Of_A_P_on_17_August_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,20/10/2009,6105.0,3,3083,Very Low,Criminal case; Pending for 16 years
Lahu_Kamlakar_Patil_Anr_vs_State_Of_Maharashtra_on_14_December_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,4960,Low,Criminal case
Lakhi_Narayan_Das_And_Ors_vs_The_Province_Of_Bihar_on_30_March_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,7792,Low,Civil case
Lalita_Kumari_vs_Govt_Of_U_P_Ors_on_27_February_2012_1,criminal,IPC,"120b,363,366,506",4,"61,137,87,351",4,,0,8,1,5,8.8,,,8,17358,Critical,Criminal case; 4 IPC sections involved; High legal complexity
Lavesh_vs_State_Nct_Of_Delhi_on_31_August_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,0,2116,Medium,Criminal case
Lee_Kun_Hee_Ors_vs_State_Of_U_P_Ors_on_1_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,22 June 2002,8782.0,0,16620,Low,Criminal case; Pending for 24 years
Lokesh_Shivakumar_vs_State_Of_Karnataka_on_10_February_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,1,3333,Medium,Criminal case
Maa_Vaishno_Devi_Mahila_Mahavidyalaya_vs_State_Of_U_P_Ors_on_13_December_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,29-9-1993,11970.0,3,21631,Low,Criminal case; Pending for 32 years
Madhu_vs_State_Of_Kerala_on_13_January_2012_1,criminal,IPC,"302,304b",2,"103,80",2,,0,10,1,5,9.5,,,1,14935,Critical,Criminal case; 2 IPC sections involved
Mahasay_Ganesh_Prasad_Ray_And_Anr_vs_Narendra_Nath_Sen_And_Ors_on_1_December_1950_1,civil,IPC,,0,,0,,0,3,0,1,1.55,30-7-1896,47459.0,0,2160,Very Low,Civil case; Pending for 130 years
Mahesh_Chandra_Verma_Ors_vs_State_Of_Jharkhand_Ors_on_19_September_2012_1,criminal,IPC,,0,,0,,0,3,0,5,3.55,07/03/2011,5602.0,2,14933,Low,Criminal case; Pending for 15 years
Mahesh_Kumar_D_By_Lrs_vs_Vinod_Kumar_Ors_on_13_March_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,2,9295,High,Civil case
Mangal_Amusement_Park_P_Ltd_Anr_vs_State_Of_M_P_Ors_on_28_August_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,3-47-0000,,5,6599,Low,Civil case
Mangani_Lal_Mandal_vs_Bishnu_Deo_Bhandari_on_1_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,1742,Low,Criminal case
Mangan_Lal_Deoshi_vs_Mohammad_Moinul_Haoque_Others_on_1_December_1950_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,2871,Low,Civil case
Manharibhai_Muljibhai_Kakadia_Anr_vs_Shaileshbhai_Mohanbhai_Patel_Ors_on_1_October_2012_1,criminal,IPC,420,1,318,1,,0,5,1,3,6.75,,,2,13168,High,Criminal case; 1 IPC sections involved
Manohar_vs_State_Of_Maharashtra_Anr_on_13_December_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,2,8268,Low,Civil case
Mano_Dutt_Anr_vs_State_Of_U_P_on_29_February_2012_1,criminal,IPC,"149,302,323,34,38",5,"190,103,115,3,3",5,,0,10,0,1,4.5,,,2,8555,Medium,Criminal case; 5 IPC sections involved
Manubhai_Ratilal_Patel_Tr_Ushaben_vs_State_Of_Gujarat_Ors_on_28_September_2012_1,criminal,IPC,,0,,0,,0,3,1,3,5.55,16/07/2012,5105.0,22,5525,Medium,Criminal case; Pending for 13 years; High legal complexity
Maria_Margadia_Sequeria_Fernandes_Ors_vs_Erasmo_Jack_De_Sequeria_D_Tr_Lrs_Ors_on_21_March_2012_1,civil,IPC,,0,,0,30,1,3,1,3,6.05,,,1,11164,High,Civil case; 1 CPC sections involved
Markio_Tado_vs_Takam_Sorang_Ors_on_2_February_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,4,6379,Medium,Criminal case
Maruti_Nivrutti_Navale_vs_State_Of_Maharashtra_Anr_on_7_September_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,0,2418,Medium,Criminal case
Maulana_Mohd_Amir_Rashadi_vs_State_Of_U_P_Anr_on_16_January_2012_1,criminal,IPC,"302,307,325",3,"103,109,117",3,,0,10,0,1,4.5,,,1,1456,Medium,Criminal case; 3 IPC sections involved
Mayawati_vs_Union_Of_India_Ors_on_6_July_2012_1,criminal,IPC,"420,467,468,471",4,"318,338,336,340",4,,0,5,0,5,4.75,,,1,8173,Medium,Criminal case; 4 IPC sections involved
Md_Ajmal_Md_Amir_Kasab_Abu_Majahid_vs_State_Of_Maharashtra_on_29_August_2012_1,criminal,IPC,"120b,121,302",3,"61,147,103",3,,0,10,1,5,9.5,84-00-0541,,2,107124,Critical,Criminal case; 3 IPC sections involved
Medha_Kotwal_Lele_Ors_vs_U_O_I_Ors_on_19_October_2012_1,criminal,IPC,,0,,0,,0,3,1,5,7.05,,,0,5193,High,Criminal case
Mehrawal_Khewaji_Trust_Regd_vs_State_Of_Punjab_Ors_on_27_April_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,3,2754,Low,Criminal case
Messrs_Khimji_Poonja_And_Company_vs_Shri_Baldev_Das_C_Parikh_on_14_March_1950_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,0,4347,Medium,Civil case
Mohammad_Khalil_Chisti_vs_State_Of_Rajasthan_Ors_on_12_December_2012_1,criminal,IPC,"148,149,307,324,326,34,452",7,"191,190,109,118,118,3,333",7,,0,8,1,3,7.8,,,1,10751,High,Criminal case; 7 IPC sections involved
Mohan_Soni_vs_Ram_Avtar_Tomar_Ors_on_10_January_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,1,2854,Low,Criminal case
Mohd_Ayub_Anr_vs_Mukesh_Chand_on_5_January_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,1,3174,Low,Civil case
Mohd_Hussain_Julfikar_Ali_vs_The_State_Govt_Of_Nct_Delhi_on_11_January_2012_1,criminal,IPC,"3,302,307",3,"103,109",2,,0,10,1,5,9.0,27/7/2000,9477.0,4,17326,Critical,Criminal case; 3 IPC sections involved; Pending for 25 years
Mohd_Sahabuddin_Anr_vs_State_Of_Assam_on_5_October_2012_1,criminal,IPC,,0,,0,,0,3,1,1,5.05,,,0,2355,Medium,Criminal case
Mohinder_Singh_vs_The_State_on_17_October_1950_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,0,4864,Low,Criminal case
Monnet_Ispat_And_Energy_Ltd_vs_Union_Of_India_And_Ors_on_26_July_2012_1,civil,IPC,,0,,0,,0,3,1,5,7.05,5/40/2004,,16,74756,High,Civil case; High legal complexity
Mp_Rural_Road_Dev_Authority_And_Anr_vs_M_S_L_G_Chaudhary_Engineers_And_Cont_on_24_January_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,24-01-2012,5279.0,2,7979,Low,Civil case; Pending for 14 years
Msr_Leathers_vs_S_Palaniappan_And_Anr_on_26_September_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,7,8318,Low,Civil case; High legal complexity
Mst_Param_Pal_Singh_Tr_Father_vs_M_S_National_Insurance_Co_Anr_on_14_December_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,15/2/1999,10005.0,3,6899,Very Low,Criminal case; Pending for 27 years
Mukut_Bihari_Anr_vs_State_Of_Rajasthan_on_25_May_2012_1,criminal,IPC,120b,1,61,1,,0,8,0,3,4.8,,,12,2838,Medium,Criminal case; 1 IPC sections involved; High legal complexity
Munagala_Yadamma_vs_State_Of_A_P_Ors_on_5_January_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,1,1379,High,Criminal case
Munish_Mubar_vs_State_Of_Haryana_on_4_October_2012_1,criminal,IPC,"201,404",2,"238,315",2,,0,8,0,1,3.8,,,4,5454,Low,Criminal case; 2 IPC sections involved
Munna_Kumar_Upadhyaya_M_Upadhyaya_vs_State_Of_A_P_Tr_Pub_Prosecutor_on_8_May_2012_1,criminal,IPC,"201,302,411",3,"238,103,317",3,,0,10,1,3,8.0,18-03-2003,8513.0,1,13521,Critical,Criminal case; 3 IPC sections involved; Pending for 23 years
Murugesan_16_Ors_vs_State_Tr_Insp_Of_Police_on_12_October_2012_1,criminal,IPC,"120b,149,302,34",4,"61,190,103,3",4,,0,10,1,3,8.0,04-09-2008,6516.0,5,8653,Critical,Criminal case; 4 IPC sections involved; Pending for 17 years
Mustafa_Shahadal_Shaikh_vs_State_Of_Maharashtra_on_14_September_2012_1,criminal,IPC,"304b,498a",2,"80,86",2,,0,9,0,1,4.15,,,2,3724,Medium,Criminal case; 2 IPC sections involved
Myla_Venkateswarlu_vs_State_Of_A_P_on_4_April_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,5/1/2001,9315.0,1,3430,Very Low,Criminal case; Pending for 25 years
M_R_Prabhakar_Ors_vs_Canara_Bank_Ors_on_3_October_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,27-05-1970,20496.0,1,4677,Low,Criminal case; Pending for 56 years
M_S_Best_Sellers_Retail_I_P_Ltd_vs_M_S_Aditya_Birla_Nuvo_Ltd_Ors_on_8_May_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,1,4097,High,Civil case
M_S_Dsr_Steel_P_Ltd_vs_State_Of_Rajasthan_Ors_on_1_May_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,8,4406,Low,Civil case; High legal complexity
M_S_Heinz_India_Pvt_Ltd_Anr_vs_State_Of_U_P_Ors_on_23_March_2012_1,criminal,IPC,499,1,356,1,,0,4,1,3,6.4,,,12,15128,High,Criminal case; 1 IPC sections involved; High legal complexity
M_S_Ifb_Industries_Ltd_vs_State_Of_Kerala_on_27_February_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,0,5582,Low,Civil case
M_S_Laxmi_Dyechem_vs_State_Of_Gujarat_Ors_on_27_November_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,2,9716,Low,Criminal case
M_S_Michigan_Rubber_I_Ltd_vs_State_Of_Karnataka_Ors_on_17_August_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,1,7141,Low,Civil case
M_S_Narne_Construction_P_Ltd_Etc_Etc_vs_Union_Of_India_Ors_Etc_on_10_May_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,2,211,Low,Criminal case
M_S_National_Seeds_Corpn_Ltd_vs_M_Madhusudhan_Reddy_Anr_on_16_January_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,4-1-1996,11143.0,1,17768,Low,Civil case; Pending for 30 years
M_S_Patel_Enginnering_Ltd_vs_Union_Of_India_Anr_on_11_May_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,17-01-2011,5651.0,1,5508,Low,Civil case; Pending for 15 years
M_S_Purbanchal_Cables_Conductors_vs_Assam_State_Electricity_Board_Anr_on_10_July_2012_1,civil,IPC,,0,,0,,0,3,0,3,2.55,23-9-1992,12341.0,1,18108,Low,Civil case; Pending for 33 years
M_S_Real_Estate_Agencies_vs_Govt_Of_Goa_Ors_on_10_September_2012_1,civil,IPC,,0,,0,,0,3,1,5,7.05,,,1,4672,High,Civil case
M_S_Sundaram_Fin_Ltd_vs_Asst_Commissioner_Of_Income_on_11_September_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,11/09/2012,5048.0,0,1462,Very Low,Criminal case; Pending for 13 years
M_S_Topman_Exports_vs_Commr_Of_Income_Tax_Mumbai_on_8_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,0,11219,Low,Criminal case
M_S_Virgo_Industries_Eng_P_Ltd_vs_M_S_Venturetech_Solutions_P_Ltd_on_7_September_2012_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,3,4204,High,Civil case
M_S_Zunaid_Enterprises_Ors_vs_State_Of_M_P_Ors_on_22_February_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,0,1239,Medium,Criminal case
M_T_Enrica_Lexie_Anr_vs_Doramma_Ors_on_2_May_2012_1,criminal,IPC,,0,,0,,0,3,1,3,6.05,,,2,4673,High,Criminal case
Nagesh_vs_State_Of_Karnataka_on_8_May_2012_1,criminal,IPC,"302,34",2,"103,3",2,,0,10,0,5,6.5,,,11,6204,High,Criminal case; 2 IPC sections involved; High legal complexity
Naguba_Appa_vs_Namdev_on_20_November_1950_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,0,533,Low,Civil case
Namit_Sharma_vs_Union_Of_India_on_13_September_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,16,25445,Medium,Civil case; High legal complexity
Nanalal_Zaver_And_Another_vs_Bombay_Life_Assurance_Co_Ltd_And_on_4_May_1950_1,civil,IPC,,0,,0,,0,3,1,3,6.05,,,0,18637,High,Civil case
Nand_Kumar_Verma_vs_State_Of_Jharkhand_Ors_on_1_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,2.55,29-11-1996,10813.0,1,6453,Low,Criminal case; Pending for 29 years
Narender_Kumar_vs_State_N_C_T_Of_Delhi_on_25_May_2012_1,criminal,IPC,376,1,65,1,,0,10,0,1,4.5,,,9,4317,Medium,Criminal case; 1 IPC sections involved; High legal complexity
Narendra_Champaklal_Trivedi_vs_State_Of_Gujarat_on_29_May_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,5,4886,Medium,Criminal case
Narinderjit_Singh_vs_North_Star_Estate_Promoters_Ltd_on_8_May_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,1,5788,Low,Civil case
National_Bank_Of_Oman_vs_Barakara_Abdul_Aziz_Anr_on_3_December_2012_1,criminal,IPC,,0,,0,,0,3,0,1,1.55,03/10/2012,5026.0,0,2062,Very Low,Criminal case; Pending for 13 years
National_Council_For_Teacher_Edn_Anr_vs_Venus_Public_Education_Society_Ors_on_1_November_2012_1,criminal,IPC,,0,,0,,0,3,0,1,2.05,,,2,8685,Low,Criminal case
National_Ins_Co_Ltd_vs_Balakrishnan_Anr_on_20_November_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,73/11/2009,,2,6898,Low,Civil case
Neel_Kumar_Anil_Kumar_vs_State_Of_Haryana_on_7_May_2012_1,criminal,IPC,"201,302",2,"238,103",2,,0,10,1,5,9.5,,,13,4431,Critical,Criminal case; 2 IPC sections involved; High legal complexity
New_India_Assurance_Co_Ltd_vs_Gopali_Ors_on_5_July_2012_1,civil,IPC,,0,,0,,0,3,0,5,4.05,,,1,5078,Medium,Civil case
New_India_Assurance_Co_Ltd_vs_Yogesh_Devi_Ors_on_10_February_2012_1,civil,IPC,,0,,0,,0,3,0,1,1.55,10-12-2002,8611.0,1,2973,Very Low,Civil case; Pending for 23 years
Nupur_Talwar_vs_Cbi_Anr_on_7_June_2012_1,criminal,IPC,"201,302,34",3,"238,103,3",3,,0,10,1,5,9.0,16/05/2008,6627.0,9,22197,Critical,Criminal case; 3 IPC sections involved; Pending for 18 years; High legal complexity
N_K_Bajpai_vs_Union_Of_India_Anr_on_15_March_2012_1,criminal,IPC,,0,,0,,0,3,0,5,4.05,,,4,12951,Medium,Criminal case
N_V_Subba_Rao_vs_State_Insp_Of_Police_C_B_I__S_P_E_on_3_December_2012_1,criminal,IPC,"420,468",2,"318,336",2,,0,5,0,5,4.75,,,0,7632,Medium,Criminal case; 2 IPC sections involved
Office_Of_The_Chief_Post_Master_Ors_vs_Living_Media_India_Ltd_Anr_on_24_February_2012_1,criminal,IPC,,0,,0,,0,3,0,3,3.05,,,1,5565,Low,Criminal case
Oma_Omprakash_Anr_vs_State_Of_Tamilnadu_on_11_December_2012_1,criminal,IPC,"302,34,395,396,397",5,"103,3,310,310,311",5,,0,10,0,4,6.0,,,1,10453,High,Criminal case; 5 IPC sections involved
Om_Kr_Dhankar_vs_State_Of_Haryana_Anr_on_28_February_2012_1,criminal,IPC,"161,406,409,420,427",5,"316,316,318,324",4,,0,5,0,3,3.75,,,0,1890,Low,Criminal case; 5 IPC sections involved
Om_Prakash_Ors_vs_State_Of_Jharkhand_Anr_on_26_September_2012_1,criminal,IPC,,0,,0,,0,3,0,2,2.05,1/5/2006,7373.0,2,11313,Low,Criminal case; Pending for 20 years
Om_Prakash_vs_State_Of_Rajasthan_Anr_on_13_April_2012_1,criminal,IPC,"323,365,376",3,"115,140,65",3,,0,10,1,4,9.0,,,1,6656,Critical,Criminal case; 3 IPC sections involved
Oriental_Insurance_Co_Ltd_vs_Siby_George_Ors_on_31_July_2012_1,civil,IPC,,0,,0,,0,3,0,1,1.55,15-9-1995,11254.0,4,3041,Very Low,Civil case; Pending for 30 years
Oriental_Insurance_Co_Ltd_vs_Surendra_Nath_Loomba_And_Ors_on_20_November_2012_1,civil,IPC,,0,,0,,0,3,0,1,2.05,,,1,3233,Low,Civil case
O_M_Baby_Dead_By_Legal_vs_State_Of_Kerala_on_3_July_2012_1,criminal,IPC,"342,376",2,"127,65",2,,0,10,0,1,4.5,,,1,3679,Medium,Criminal case; 2 IPC sections involved
Padmakar_Tukaram_Bhavnagare_Anr_vs_State_Of_Maharashtra_Anr_on_26_November_2012_1,criminal,IPC,,0,,0,,0,3,1,3,5.55,27/03/2012,5216.0,0,2209,Medium,Criminal case; Pending for 14 years
Pannalal_Jankidas_vs_Mohanlal_And_Another_on_21_December_1950_1,civil,IPC,,0,,0,,0,3,1,1,5.05,,,0,11618,Medium,Civil case
Paramjeet_Batra_vs_State_Of_Uttarakhand_Ors_on_14_December_2012_1,criminal,IPC,,0,,0,,0,3,1,1,4.55,22/3/2005,7778.0,0,1761,Medium,Criminal case; Pending for 21 years
Paras_Nath_Rai_Ors_vs_State_Of_Bihar_Ors_on_5_October_2012_1,civil,IPC,,0,,0,,0,3,0,3,3.05,,,8,7334,Low,Civil case; High legal complexity
